date_time,CIS_x,CIS_y,CIS_z,CIS_vx,CIS_vy,CIS_vz
2024/5/12 12:50,-4935272.89,41867291.44,22954.39529,-3054.201565,-359.2507415,8.16886787
2024/5/12 12:55,-5850278.744,41749501.83,25399.63252,-3045.594076,-425.9818055,8.1320637
2024/5/12 13:00,-6762483.523,41611722.87,27833.2444,-3035.528486,-492.5077819,8.091368505
2024/5/12 13:05,-7671450.51,41454020.86,30254.06638,-3024.009665,-558.7968064,8.046800887
2024/5/12 13:10,-8576744.553,41276471.66,32660.93973,-3011.043181,-624.8171311,7.9983813
2024/5/12 13:15,-9477932.276,41079160.61,35052.71218,-2996.635298,-690.5371387,7.946132039
2024/5/12 13:20,-10374582.29,40862182.55,37428.23839,-2980.792968,-755.9253585,7.890077227
2024/5/12 13:25,-11266265.37,40625641.71,39786.38055,-2963.523831,-820.9504812,7.830242812
2024/5/12 13:30,-12152554.73,40369651.69,42126.00889,-2944.836213,-885.5813738,7.766656548
2024/5/12 13:35,-13033026.15,40094335.4,44446.00224,-2924.739116,-949.7870947,7.699347985
2024/5/12 13:40,-13907258.22,39799825.02,46745.24858,-2903.24222,-1013.536909,7.628348457
2024/5/12 13:45,-14774832.54,39486261.9,49022.64553,-2880.355874,-1076.800301,7.553691068
2024/5/12 13:50,-15635333.9,39153796.51,51277.10091,-2856.091092,-1139.546993,7.475410673
2024/5/12 13:55,-16488350.51,38802588.38,53507.53328,-2830.459549,-1201.746956,7.393543869
2024/5/12 14:00,-17333474.18,38432805.99,55712.87242,-2803.473572,-1263.370426,7.30812897
2024/5/12 14:05,-18170300.51,38044626.72,57892.05985,-2775.146139,-1324.387917,7.219205998
2024/5/12 14:10,-18998429.08,37638236.76,60044.04938,-2745.490868,-1384.770236,7.126816659
2024/5/12 14:15,-19817463.67,37213830.99,62167.80754,-2714.522012,-1444.488497,7.031004323
2024/5/12 14:20,-20627012.42,36771612.92,64262.31417,-2682.254453,-1503.514136,6.931814011
2024/5/12 14:25,-21426688.02,36311794.59,66326.56281,-2648.703694,-1561.81892,6.829292366
2024/5/12 14:30,-22216107.92,35834596.44,68359.56127,-2613.88585,-1619.374967,6.723487638
2024/5/12 14:35,-22994894.49,35340247.24,70360.33206,-2577.817643,-1676.154753,6.614449656
2024/5/12 14:40,-23762675.2,34828983.93,72327.91288,-2540.516392,-1732.131132,6.50222981
2024/5/12 14:45,-24519082.81,34301051.58,74261.35705,-2502.000005,-1787.277341,6.386881025
2024/5/12 14:50,-25263755.54,33756703.18,76159.73403,-2462.28697,-1841.567019,6.268457734
2024/5/12 14:55,-25996337.23,33196199.62,78022.12983,-2421.396347,-1894.974218,6.147015857
2024/5/12 15:00,-26716477.55,32619809.45,79847.64742,-2379.347757,-1947.473413,6.022612771
2024/5/12 15:05,-27423832.1,32027808.88,81635.40725,-2336.161374,-1999.039518,5.895307286
2024/5/12 15:10,-28118062.66,31420481.52,83384.54757,-2291.857917,-2049.647894,5.765159617
2024/5/12 15:15,-28798837.27,30798118.33,85094.22495,-2246.458634,-2099.274364,5.632231352
2024/5/12 15:20,-29465830.44,30161017.46,86763.61461,-2199.985298,-2147.895222,5.49658543
2024/5/12 15:25,-30118723.27,29509484.09,88391.91086,-2152.460194,-2195.487246,5.358286104
2024/5/12 15:30,-30757203.65,28843830.27,89978.32748,-2103.906107,-2242.027707,5.217398915
2024/5/12 15:35,-31380966.36,28164374.84,91522.0981,-2054.346313,-2287.494383,5.073990662
2024/5/12 15:40,-31989713.24,27471443.19,93022.47657,-2003.804568,-2331.865568,4.928129366
2024/5/12 15:45,-32583153.33,26765367.17,94478.73734,-1952.305093,-2375.120079,4.779884242
2024/5/12 15:50,-33161002.99,26046484.88,95890.17577,-1899.872568,-2417.237271,4.629325663
2024/5/12 15:55,-33722986.08,25315140.55,97256.10853,-1846.532115,-2458.197046,4.476525129
2024/5/12 16:00,-34268834.02,24571684.35,98575.87391,-1792.309289,-2497.979858,4.321555233
2024/5/12 16:05,-34798286.01,23816472.23,99848.8321,-1737.230063,-2536.566728,4.164489623
2024/5/12 16:10,-35311089.06,23049865.75,101074.3656,-1681.320819,-2573.93925,4.005402973
2024/5/12 16:15,-35806998.17,22272231.9,102251.8793,-1624.608332,-2610.079599,3.84437094
2024/5/12 16:20,-36285776.45,21483942.93,103380.8013,-1567.119761,-2644.970541,3.681470135
2024/5/12 16:25,-36747195.17,20685376.18,104460.5823,-1508.882632,-2678.595442,3.516778082
2024/5/12 16:30,-37191033.96,19876913.88,105490.6968,-1449.924825,-2710.938272,3.350373182
2024/5/12 16:35,-37617080.82,19058942.97,106470.6428,-1390.274564,-2741.983618,3.182334677
2024/5/12 16:40,-38025132.3,18231854.94,107399.9423,-1329.960401,-2771.716685,3.012742608
2024/5/12 16:45,-38414993.56,17396045.6,108278.1411,-1269.011203,-2800.123308,2.841677783
2024/5/12 16:50,-38786478.44,16551914.95,109104.8098,-1207.456138,-2827.189957,2.669221732
2024/5/12 16:55,-39139409.6,15699866.92,109879.5433,-1145.32466,-2852.903743,2.495456671
2024/5/12 17:00,-39473618.56,14840309.22,110601.9612,-1082.646498,-2877.252424,2.320465465
2024/5/12 17:05,-39788945.83,13973653.14,111271.7083,-1019.451638,-2900.22441,2.144331581
2024/5/12 17:10,-40085240.9,13100313.34,111888.4543,-955.7703108,-2921.808771,1.967139056
2024/5/12 17:15,-40362362.41,12220707.67,112451.8943,-891.6329774,-2941.99524,1.788972451
2024/5/12 17:20,-40620178.15,11335256.94,112961.7488,-827.0703143,-2960.774218,1.609916814
2024/5/12 17:25,-40858565.15,10444384.78,113417.764,-762.1131986,-2978.136777,1.430057635
2024/5/12 17:30,-41077409.73,9548517.347,113819.7117,-696.7926935,-2994.07467,1.249480811
2024/5/12 17:35,-41276607.55,8648083.203,114167.3894,-631.1400334,-3008.580326,1.068272597
2024/5/12 17:40,-41456063.68,7743513.066,114460.6207,-565.1866092,-3021.646862,0.886519572
2024/5/12 17:45,-41615692.6,6835239.62,114699.2553,-498.9639531,-3033.26808,0.704308593
2024/5/12 17:50,-41755418.29,5923697.303,114883.1688,-432.5037234,-3043.438472,0.521726752
2024/5/12 17:55,-41875174.25,5009322.103,115012.263,-365.8376901,-3052.153225,0.338861339
2024/5/12 18:00,-41974903.51,4092551.346,115086.466,-298.9977191,-3059.40822,0.155799796
2024/5/12 18:05,-42054558.68,3173823.491,115105.732,-232.0157574,-3065.200033,-0.027370322
2024/5/12 18:10,-42114101.97,2253577.919,115070.0417,-164.9238176,-3069.52594,-0.210561395
2024/5/12 18:15,-42153505.18,1332254.723,114979.4019,-97.75396303,-3072.383916,-0.393685773
2024/5/12 18:20,-42172749.76,410294.4972,114833.8457,-30.53829225,-3073.772638,-0.576655822
2024/5/12 18:25,-42171826.79,-511861.8699,114633.4326,36.69107613,-3073.691481,-0.759383965
2024/5/12 18:30,-42150736.96,-1433773.409,114378.2482,103.9020187,-3072.140524,-0.941782727
2024/5/12 18:35,-42109490.63,-2354999.28,114068.4046,171.0624227,-3069.120545,-1.123764772
2024/5/12 18:40,-42048107.77,-3275098.979,113704.0398,238.1402008,-3064.633024,-1.305242949
2024/5/12 18:45,-41966617.98,-4193632.555,113285.3179,305.1033071,-3058.68014,-1.486130334
2024/5/12 18:50,-41865060.45,-5110160.812,112812.4293,371.9197516,-3051.264771,-1.66634027
2024/5/12 18:55,-41743483.98,-6024245.525,112285.5901,438.5576157,-3042.390493,-1.845786408
2024/5/12 19:00,-41601946.92,-6935449.642,111705.0424,504.9850676,-3032.061576,-2.024382751
2024/5/12 19:05,-41440517.16,-7843337.501,111071.054,571.1703771,-3020.282986,-2.202043695
